# dt_ps,meas_ps,start_coarse,start_fine,stop_coarse,stop_fine,guard
800,800,16,75,16,59,6
973,1000,27,75,27,55,6
1146,1150,38,75,38,52,6
1319,1350,49,75,49,48,6
1492,1500,60,75,60,45,6
1665,1650,71,75,71,42,6
1838,1850,82,75,82,38,5
2011,2000,93,75,93,35,5
2184,2200,104,75,104,31,5
2357,2350,115,75,115,28,5
2530,2550,126,75,126,24,5
2703,2700,137,75,137,21,5
2876,2900,148,75,148,17,5
3049,3050,159,75,159,14,5
3222,3250,170,75,170,10,5
3395,3400,181,75,181,7,5
3568,3600,192,75,192,3,5
3741,3750,203,75,204,100,6
3914,3900,215,75,216,97,6
4087,4100,227,75,228,93,6
4260,4250,239,75,240,90,6
4433,4450,251,75,252,86,6
4606,4600,263,75,264,83,6
4779,4800,275,75,276,79,6
4952,4950,287,75,288,76,6
5125,5150,299,75,300,72,6
5298,5300,311,75,312,69,6
5471,5500,323,75,324,65,6
5644,5650,335,75,336,62,6
5817,5850,347,75,348,58,6
5990,6000,359,75,360,55,6
6163,6150,371,75,372,52,6
6336,6350,383,75,384,48,6
6509,6500,395,75,396,45,6
6682,6700,407,75,408,41,6
6855,6850,419,75,420,38,5
7028,7050,431,75,432,34,5
7201,7200,443,75,444,31,5
7374,7400,455,75,456,27,5
7547,7550,467,75,468,24,5
7720,7750,479,75,480,20,5
7893,7900,491,75,492,17,5
8066,8100,503,75,504,13,5
8239,8250,515,75,516,10,5
8412,8400,527,75,528,7,5
8585,8600,539,75,540,3,5
8758,8750,551,75,553,100,6
8931,8950,564,75,566,96,6
9104,9100,577,75,579,93,6
9277,9300,590,75,592,89,6
9450,9450,603,75,605,86,6
9623,9650,616,75,618,82,6
9796,9800,629,75,631,79,6
9969,10000,642,75,644,75,6
10142,10150,655,75,657,72,6
10315,10300,668,75,670,69,6
10488,10500,681,75,683,65,6
10661,10650,694,75,696,62,6
10834,10850,707,75,709,58,6
11007,11000,720,75,722,55,6
11180,11200,733,75,735,51,6
11353,11350,746,75,748,48,6
11526,11550,759,75,761,44,6
11699,11700,772,75,774,41,6
11872,11900,785,75,787,37,5
12045,12050,798,75,800,34,5
12218,12250,811,75,813,30,5
12391,12400,824,75,826,27,5
12564,12550,837,75,839,24,5
12737,12750,850,75,852,20,5
12910,12900,863,75,865,17,5
13083,13100,876,75,878,13,5
13256,13250,889,75,891,10,5
13429,13450,902,75,904,6,5
13602,13600,915,75,917,3,5
13775,13800,928,75,931,99,6
13948,13950,942,75,945,96,6
14121,14150,956,75,959,92,6
14294,14300,970,75,973,89,6
14467,14500,984,75,987,85,6
14640,14650,998,75,1001,82,6
14813,14800,1012,75,1015,79,6
14986,15000,1026,75,1029,75,6
15159,15150,1040,75,1043,72,6
15332,15350,1054,75,1057,68,6
15505,15500,1068,75,1071,65,6
15678,15700,1082,75,1085,61,6
15851,15850,1096,75,1099,58,6
16024,16050,1110,75,1113,54,6
16197,16200,1124,75,1127,51,6
16370,16400,1138,75,1141,47,6
16543,16550,1152,75,1155,44,6
16716,16750,1166,75,1169,40,6
16889,16900,1180,75,1183,37,5
17062,17050,1194,75,1197,34,5
17235,17250,1208,75,1211,30,5
17408,17400,1222,75,1225,27,5
17581,17600,1236,75,1239,23,5
17754,17750,1250,75,1253,20,5
17927,17950,1264,75,1267,16,5
